title,author,rank,votes,previous_rank,rank_change,goodreads
Uprooted,Naomi Novik,122,13,147,25,https://www.goodreads.com/book/show/22544764-uprooted
The Warlord Chronicles,Bernard Cornwell,122,13,147,25,https://www.goodreads.com/series/250571-the-warlord-chronicles
The Singing Hills Cycle,Nghi Vo,122,13,108,-14,https://www.goodreads.com/series/288518-the-singing-hills-cycle
Roots of Chaos,Samantha Shannon,122,13,108,-14,https://www.goodreads.com/series/341670-the-roots-of-chaos
Codex Alera,Jim Butcher,133,12,201,68,https://www.goodreads.com/series/45545-codex-alera
House of Leaves,Mark Z. Danielewski,133,12,535,402,https://www.goodreads.com/book/show/24800.House_of_Leaves
The Burning Kingdoms,Tasha Suri,133,12,126,-7,https://www.goodreads.com/series/290186-the-burning-kingdoms
Redwall,Brian Jacques,133,12,147,14,https://www.goodreads.com/book/show/7996.Redwall
Legends and Lattes,Travis Baldree,133,12,58,-75,https://www.goodreads.com/series/360265-legends-lattes
The Burning,Evan Winter,133,12,76,-57,https://www.goodreads.com/series/250573-the-burning
Warbreaker,Brandon Sanderson,139,11,41,-98,https://www.goodreads.com/book/show/1268479.Warbreaker
Cloud Atlas,David Mitchell,139,11,378,239,https://www.goodreads.com/book/show/49628.Cloud_Atlas
Lady Astronaut,Mary Robinette Kowal,139,11,126,-13,https://www.goodreads.com/series/193730-lady-astronaut-universe
Deerskin,Robin McKinley,139,11,313,174,https://www.goodreads.com/book/show/8087.Deerskin
The Tyrant Philosophers,Adrian Tchaikovsky,139,11,,,https://www.goodreads.com/series/377488-the-tyrant-philosophers
Empire of the Wolf,Richard Swan,139,11,313,174,https://www.goodreads.com/series/324773-empire-of-the-wolf
Vita Nostra,Marina and Sergey Dyachenko,139,11,201,62,https://www.goodreads.com/book/show/38633526-vita-nostra
Foundation,Isaac Asimov,139,11,113,-26,https://www.goodreads.com/series/59386-foundation-publication-order
The Elric Saga,Michael Moorcock,139,11,235,96,https://www.goodreads.com/series/42326-the-elric-saga
The Empire Trilogy,Raymond Feist and Janny Wurts,139,11,89,-50,https://www.goodreads.com/series/44298-the-empire-trilogy
Acts of Caine,Matthew Woodring Stover,139,11,201,62,https://www.goodreads.com/series/53770-the-acts-of-caine
The Starless Sea,Erin Morgenstern,150,10,167,17,https://www.goodreads.com/book/show/43575115-the-starless-sea
The Princess Bride,William Goldman,150,10,158,8,https://www.goodreads.com/book/show/21787.The_Princess_Bride
The Empyrean,Rebecca Yarros,150,10,,,https://www.goodreads.com/series/362915-the-empyrean
Emily Wilde,Heather Fawcett,150,10,,,https://www.goodreads.com/series/353912-emily-wilde
Anathem,Neal Stephenson,150,10,120,-30,https://www.goodreads.com/book/show/2845024-anathem
The Adventures of Amina Al-Sirafi,Shannon Chakraborty,150,10,,,https://www.goodreads.com/series/289717-amina-al-sirafi
The Once and Future King,T.H. White,150,10,167,17,https://www.goodreads.com/series/57017-the-once-and-future-king
Watchmen,Alan Moore and Dave Gibbons,150,10,378,228,https://www.goodreads.com/book/show/472331.Watchmen
Shadows of The Apt,Adrian Tchaikovsky,150,10,201,51,https://www.goodreads.com/series/45895-shadows-of-the-apt
A Picture of Dorian Gray,Oscar Wilde,150,10,201,51,https://www.goodreads.com/book/show/489732.The_Picture_of_Dorian_Gray
Shades of Magic,V.E. Schwab,150,10,267,117,https://www.goodreads.com/series/122142-shades-of-magic
